gi_no,categories
269652,게임개발(모바일);플랫폼 개발;시스템·DB
281680,원화
281677,원화
281679,애니메이션
281678,애니메이션
281675,모델링
281672,모델링
281670,이펙트·FX
281664,애니메이션
281650,모델링
281648,모델링
281643,모델링;애니메이션
281640,모델링
281606,게임기획
281595,마케팅;홍보;해외 마케팅;광고기획
281514,애니메이션
281522,게임기획
281385,게임개발(클라이언트);이펙트·FX;엔진
281369,게임개발(모바일);플랫폼 개발;서버;시스템·DB
280923,모델링
275350,게임기획
272263,애니메이션
277319,이펙트·FX
277754,원화
277965,인터페이스 디자인;모델링
281362,사업기획(국내);사무·회계;재무;회계;경리
272208,인터페이스 디자인
266413,게임개발(모바일);애니메이션
265445,게임개발(모바일);원화
249910,게임개발(모바일);모델링
252911,게임기획
279775,게임기획
280318,이펙트·FX
268636,애니메이션;영상제작·편집
281347,애니메이션
281257,인사;법무
281193,게임개발(클라이언트);엔진
281183,애니메이션
281177,이펙트·FX
279161,게임개발(클라이언트)
279159,게임개발(클라이언트)
279158,게임개발(클라이언트)
281133,원화
269964,게임개발(클라이언트);게임개발(모바일)
273029,게임개발(모바일);게임기획
271753,게임개발(클라이언트);게임개발(모바일)
271066,게임개발(클라이언트);게임개발(모바일)
278593,게임개발(모바일);원화;모델링;애니메이션;플랫폼 디자인
280992,게임개발(모바일);인터페이스 디자인;게임기획
280412,게임AI 개발;플랫폼 개발
276613,통계;주식IR;법무
279949,원화;모델링;애니메이션;이펙트·FX;게임기획
278460,인터페이스 디자인;모델링;애니메이션;이펙트·FX
279369,원화;모델링
279418,원화;모델링
279419,원화;모델링
279420,원화;모델링
279421,원화;모델링
279422,원화;모델링
279425,원화;모델링
279414,사업기획(해외);마케팅;홍보
279169,게임개발(클라이언트)
279163,게임개발(클라이언트)
279103,게임개발(모바일);서버
278951,게임기획
278909,게임기획;정보·빅데이터 분석
284489,모델링
283676,게임운영;정보·빅데이터 분석;번역
284256,게임운영;마케팅;광고기획;방송;채널링
284480,인터페이스 디자인;원화;애니메이션;이펙트·FX;영상제작·편집
284257,게임개발(모바일);모델링;애니메이션;이펙트·FX
283898,게임개발(모바일);모델링;애니메이션;이펙트·FX;엔진
283444,인터페이스 디자인;원화;애니메이션
281878,게임개발(클라이언트);이펙트·FX
281885,게임개발(클라이언트);게임AI 개발
284075,게임개발(클라이언트);이펙트·FX
284401,게임개발(클라이언트);게임AI 개발
283198,게임개발(클라이언트);게임개발(모바일);게임기획;서버;게임운영
283506,게임기획;게임운영
283892,게임운영
282369,원화
282692,애니메이션
281100,사업기획(국내);마케팅;프로모션;제휴;퍼블리싱
281940,게임운영;제휴;퍼블리싱;채널링
283683,게임운영;퍼블리싱
283685,게임운영
283750,플랫폼 디자인;BX·브랜드 디자인;마케팅;홍보;프로모션
284366,마케팅;홍보;해외 마케팅;프로모션;광고기획
284460,모델링
284457,모델링
284458,원화
281819,모델링
281816,게임개발(클라이언트)
284459,인터페이스 디자인;이펙트·FX
284092,원화;애니메이션
281377,이펙트·FX
281623,이펙트·FX
282456,이펙트·FX
283442,이펙트·FX
283741,인터페이스 디자인
283993,애니메이션
284455,게임운영;전략기획;사업관리;퍼블리싱
283053,게임기획
281730,영상제작·편집
282925,원화;애니메이션
283861,애니메이션;이펙트·FX
284220,게임기획
284446,게임개발(모바일);게임기획
283465,게임개발(모바일);서버
282257,게임개발(모바일);원화;모델링;애니메이션;게임기획
282256,게임개발(클라이언트);게임개발(모바일);게임AI 개발;서버
282255,인터페이스 디자인;원화;모델링;애니메이션;이펙트·FX
282254,게임개발(모바일);게임기획
284444,인터페이스 디자인;모델링;애니메이션
283793,모델링;이펙트·FX;게임기획
281072,게임기획
281085,게임기획
281214,게임기획
281213,서버
281641,게임개발(클라이언트);원화;모델링;애니메이션
281665,게임개발(클라이언트);인터페이스 디자인;모델링;이펙트·FX
281668,게임개발(클라이언트);인터페이스 디자인;모델링
281915,게임기획
281916,게임기획
281917,게임기획
283003,게임기획
283002,게임개발(클라이언트);게임기획
283000,게임개발(클라이언트);게임기획;게임운영;QA·테스터
283538,이펙트·FX
283854,게임개발(클라이언트);엔진
284416,게임개발(클라이언트)
284443,애니메이션
284442,게임개발(클라이언트);게임개발(모바일)
284441,서버
282077,게임개발(모바일);게임기획;정보·빅데이터 분석
283010,모델링
280080,이펙트·FX
283575,게임개발(클라이언트);게임개발(모바일)
283525,게임개발(모바일);게임기획
283574,게임개발(모바일);게임기획
283646,모델링
275847,사업기획(국내);사업기획(해외)
284386,게임개발(클라이언트)
282676,인터페이스 디자인
282981,게임개발(모바일);서버;네트워크;시스템·DB;보안
283560,사업기획(국내);사업기획(해외);사업관리;마케팅;국내영업
283561,게임개발(모바일);게임기획
284440,애니메이션
284436,원화;모델링;애니메이션;이펙트·FX;게임기획
284438,모델링
284439,애니메이션
283161,게임기획;플랫폼 기획;서버
283160,인터페이스 디자인;원화;게임기획;플랫폼 개발
283593,게임기획;해외영업;해외지사 관리
284385,게임기획
283410,게임운영;QA·테스터
283730,애니메이션
284212,모델링
284221,원화
282242,인터페이스 디자인;원화;애니메이션
284395,모델링
281905,게임개발(모바일);게임기획
284209,인터페이스 디자인
280997,모델링
283996,게임기획
283611,애니메이션
284410,원화;모델링;애니메이션;이펙트·FX
284429,게임기획
284428,게임기획
284425,게임개발(모바일);애니메이션
284099,인터페이스 디자인;모델링;애니메이션
284097,게임기획;사업기획(국내);사업기획(해외);사업관리
282799,애니메이션
283590,원화
283988,게임개발(모바일);인터페이스 디자인
284061,QA·테스터
284047,영상제작·편집;홍보;방송
284312,원화;애니메이션
284424,게임개발(모바일);원화
283490,게임개발(클라이언트)
273507,게임개발(클라이언트);게임개발(모바일)
284325,게임기획
284326,게임개발(모바일);인터페이스 디자인;애니메이션;이펙트·FX
284348,게임개발(모바일);게임기획
275479,QA·테스터
284415,게임기획
284414,게임기획
284311,게임개발(클라이언트)
281691,인터페이스 디자인;이펙트·FX
281778,원화
284409,게임기획
282041,게임기획
282578,게임개발(클라이언트)
284096,게임기획
284175,게임개발(모바일);모델링
282634,QA·테스터
283815,모델링
283817,모델링
283819,이펙트·FX
283508,게임개발(모바일);게임기획
284189,게임개발(모바일);게임기획
284387,플랫폼 개발;서버;시스템·DB;보안;클라우드
284405,인터페이스 디자인;플랫폼 디자인
284404,원화
284051,게임운영;사업기획(해외);사업관리;프로모션
284403,게임개발(모바일);원화
283586,게임개발(모바일);게임운영
282686,서버;네트워크;시스템·DB;보안;클라우드
282938,사업기획(해외);사업관리
284394,사업관리;국내영업;해외영업;영업 관리;기술영업
284338,게임개발(클라이언트);모델링;애니메이션;이펙트·FX
284399,애니메이션;이펙트·FX
284240,원화;모델링
284396,모델링
281828,게임기획
282023,게임기획
284235,인터페이스 디자인;애니메이션;이펙트·FX
284236,게임기획;게임운영;QA·테스터
284381,게임AI 개발;원화;애니메이션
283468,영상제작·편집;마케팅;프로모션;광고기획
283813,영상제작·편집;마케팅;프로모션;광고기획
284249,게임개발(모바일);게임기획
284177,원화;애니메이션
284022,게임기획
284021,게임기획
283792,게임개발(클라이언트)
284224,게임운영
284369,인터페이스 디자인;원화
284068,게임개발(클라이언트);서버;네트워크;시스템·DB
283266,원화;애니메이션
283695,게임운영;QA·테스터
283651,사업기획(해외)
282049,서버;네트워크;시스템·DB
283232,사업기획(국내);사업기획(해외);전략기획;마케팅
284382,원화
283679,모델링
284372,사운드 제작
284350,게임기획;교육;강사
283602,게임운영;사업기획(국내);사업기획(해외);마케팅;퍼블리싱
283387,게임기획;게임운영
283886,인터페이스 디자인
283179,이펙트·FX
284347,애니메이션
283139,원화
284332,사무·회계;경리;총무;구매
281585,원화;이펙트·FX
284070,애니메이션
284258,모델링;애니메이션;게임기획
284313,원화;모델링;애니메이션;게임기획
283682,애니메이션
284342,게임개발(클라이언트);인터페이스 디자인;플랫폼 개발;사업기획(국내)
284341,게임개발(클라이언트);게임AI 개발;전략기획;정보·빅데이터 분석;광고기획
283850,게임개발(모바일);플랫폼 개발;정보·빅데이터 분석;마케팅;통계
284334,게임기획
284291,정보·빅데이터 분석
283789,게임개발(클라이언트);게임개발(모바일);게임기획
283440,인터페이스 디자인;원화;애니메이션
283043,게임기획;게임운영;마케팅;홍보
283895,게임개발(모바일);서버;네트워크;엔진;시스템·DB
284331,애니메이션;이펙트·FX
284330,영상제작·편집;마케팅;홍보;해외 마케팅;광고기획
284329,애니메이션
284324,게임기획
284315,원화;애니메이션;이펙트·FX
284321,게임개발(클라이언트);게임개발(모바일)
282643,모델링;애니메이션
281830,게임운영
283627,게임기획
281829,게임AI 개발;모델링
284261,영상제작·편집
284282,인터페이스 디자인
283334,이펙트·FX
284260,모델링
284262,애니메이션
284192,게임개발(클라이언트);게임개발(모바일)
284193,게임개발(모바일);게임기획
284255,원화;모델링;애니메이션;이펙트·FX
281384,애니메이션
282225,이펙트·FX
282877,원화;모델링;애니메이션
283121,원화;애니메이션;영상제작·편집
284254,서버
284252,게임기획
284250,사업기획(국내);마케팅;광고기획
284207,게임기획
284241,게임개발(클라이언트)
284244,게임기획
284247,인터페이스 디자인;원화
284246,인터페이스 디자인
282021,게임개발(모바일);모델링;애니메이션;이펙트·FX
284243,게임기획
284210,인터페이스 디자인;원화
284238,QA·테스터
284234,게임개발(클라이언트);게임AI 개발;플랫폼 개발;엔진;마케팅
284233,마케팅;해외 마케팅
283641,인터페이스 디자인;원화;모델링;애니메이션;이펙트·FX
284230,게임개발(모바일);게임AI 개발;플랫폼 개발
284229,게임개발(클라이언트);게임개발(모바일);플랫폼 개발;엔진
284228,게임개발(클라이언트);게임개발(모바일);플랫폼 개발
284184,게임기획;게임운영
284182,모델링;애니메이션;이펙트·FX
284183,게임개발(클라이언트)
284196,게임개발(클라이언트)
284226,게임개발(모바일);원화
284225,서버;클라우드
284222,게임기획
283591,게임기획
284217,애니메이션
283677,애니메이션
282696,애니메이션
283829,QA·테스터
284203,사업기획(국내);사업기획(해외);사업관리;경영분석;마케팅
284063,게임개발(클라이언트);게임개발(모바일);게임기획
282843,모델링
282853,게임개발(모바일);게임기획;정보·빅데이터 분석
283629,게임개발(모바일);게임기획
284216,QA·테스터
281509,애니메이션;이펙트·FX
281918,게임기획
283568,원화
282024,애니메이션;이펙트·FX
284169,마케팅;홍보;해외 마케팅;프로모션;CRM
284187,원화
284215,게임개발(클라이언트);게임개발(모바일)
283547,게임기획
284167,인사
284170,사업기획(국내);사업관리;경영분석
284197,게임개발(모바일);인터페이스 디자인
283982,애니메이션
284060,정보·빅데이터 분석
284172,게임기획;마케팅;해외 마케팅;광고기획
282617,모델링
283849,게임개발(클라이언트);게임개발(모바일)
284208,인터페이스 디자인
283327,원화
283710,모델링
283984,영상제작·편집;마케팅;홍보
284204,게임기획
280900,게임기획;QA·테스터
283709,게임개발(모바일);이펙트·FX
284191,게임기획
284190,게임기획
284186,인터페이스 디자인
284185,게임운영
284180,원화
284171,영상제작·편집;마케팅;홍보;프로모션
283413,이펙트·FX
284146,마케팅;홍보;해외 마케팅;프로모션;광고기획
284142,인터페이스 디자인;원화;모델링;애니메이션;이펙트·FX
284122,정보·빅데이터 분석;마케팅;해외 마케팅;프로모션;광고기획
280978,게임기획
283749,게임기획
284127,인터페이스 디자인;원화;애니메이션;이펙트·FX
282471,게임개발(모바일);애니메이션
283943,게임개발(모바일);QA·테스터
283036,게임개발(모바일);인터페이스 디자인;원화;애니메이션
284125,인터페이스 디자인
283610,원화
283608,인터페이스 디자인;원화
282953,게임개발(모바일);인터페이스 디자인
282961,게임개발(모바일);애니메이션
284113,QA·테스터
283838,게임기획
283840,인터페이스 디자인
283841,게임개발(클라이언트)
283842,마케팅;홍보;해외 마케팅;프로모션;광고기획
282642,게임기획
283507,영상제작·편집;마케팅;광고기획
283890,게임개발(모바일);마케팅;해외 마케팅;퍼블리싱
282856,게임개발(모바일);마케팅;해외 마케팅;퍼블리싱
284108,게임개발(클라이언트)
283967,게임개발(클라이언트);인터페이스 디자인;이펙트·FX;QA·테스터;강사
283968,교육;강사
284100,인터페이스 디자인;원화;애니메이션
284101,인터페이스 디자인
284093,게임기획
284094,게임기획
284089,플랫폼 기획;사업기획(국내);전략기획
284088,이펙트·FX
283771,애니메이션;이펙트·FX
284084,인터페이스 디자인;원화;애니메이션
282672,애니메이션
284076,게임개발(클라이언트);게임개발(모바일)
281698,게임개발(클라이언트);게임개발(모바일)
284072,마케팅;홍보;광고기획
283649,게임개발(클라이언트);게임개발(모바일)
284065,마케팅;해외 마케팅;광고기획
282910,영상제작·편집;마케팅;해외 마케팅
284055,게임개발(클라이언트);게임개발(모바일)
282210,게임기획
282933,게임개발(클라이언트)
284052,게임기획
283961,애니메이션
284048,원화;애니메이션
284041,애니메이션
283891,원화;애니메이션;이펙트·FX
283034,애니메이션
283415,모델링;애니메이션
284036,게임기획
284035,게임운영;사업기획(해외);전략기획;해외 마케팅;프로모션
284010,사업기획(해외);전략기획;마케팅;해외 마케팅;해외영업
284023,모델링
284026,원화;애니메이션;게임기획
284027,사운드 제작;번역
282236,마케팅;홍보;퍼블리싱
283582,게임기획
283041,게임기획
282647,게임기획
283668,모델링
284019,모델링;애니메이션;이펙트·FX
284018,마케팅;홍보;프로모션;광고기획
284017,마케팅;홍보;프로모션;광고기획
284015,게임개발(클라이언트)
282820,게임개발(모바일);게임기획
284004,게임기획
282698,게임운영;QA·테스터
283678,애니메이션
283990,게임운영;전략기획;마케팅;해외 마케팅;프로모션
283991,원화
283950,게임기획
283945,QA·테스터
283979,애니메이션;이펙트·FX
283981,사업기획(해외);전략기획;정보·빅데이터 분석;마케팅;프로모션
283511,사업기획(해외);전략기획;정보·빅데이터 분석;마케팅;프로모션
282675,인터페이스 디자인;원화;모델링;애니메이션;이펙트·FX
283258,모델링
283714,마케팅;해외 마케팅;프로모션;광고기획;퍼블리싱
283954,애니메이션;이펙트·FX
282237,게임개발(모바일);원화;애니메이션
283952,게임기획;강사
281524,게임운영;QA·테스터
281614,게임기획
283530,게임기획
283951,인사
283948,모델링
283949,모델링
283828,게임개발(모바일);서버
283940,QA·테스터
283652,게임운영
283928,게임기획
283927,애니메이션
283907,애니메이션
283923,강사
283922,프로모션
283921,마케팅
283920,마케팅
283919,홍보;프로모션
283803,애니메이션
283805,원화
283804,애니메이션
283915,게임기획
283914,인터페이스 디자인
283913,애니메이션
283912,인터페이스 디자인;원화;모델링;애니메이션;이펙트·FX
283911,인터페이스 디자인;원화;모델링;애니메이션;이펙트·FX
283906,원화
283872,인터페이스 디자인
283901,인터페이스 디자인
281439,영상제작·편집;마케팅;홍보;해외 마케팅;광고기획
282715,영상제작·편집;마케팅;홍보;해외 마케팅;광고기획
283724,영상제작·편집;마케팅;홍보;해외 마케팅;광고기획
283096,게임기획
283480,이펙트·FX;영상제작·편집;엔진
283479,모델링;영상제작·편집
283836,마케팅;홍보;프로모션;광고기획
282684,모델링;애니메이션
283888,영상제작·편집
283885,인터페이스 디자인;원화;애니메이션;이펙트·FX
283884,게임기획
282930,게임기획;게임운영;QA·테스터;해외 마케팅;소싱/라이선싱
283882,게임개발(클라이언트);엔진
282080,모델링
283877,애니메이션
283858,모델링;애니메이션
283860,인터페이스 디자인;BX·브랜드 디자인;마케팅;홍보;프로모션
283857,사업기획(국내);사업기획(해외);전략기획;사업관리;정보·빅데이터 분석
283855,인터페이스 디자인
283625,게임개발(모바일);애니메이션;이펙트·FX
283852,인터페이스 디자인;원화;강사
283853,모델링;강사
283236,이펙트·FX
283851,게임기획
281751,인터페이스 디자인;플랫폼 디자인
281752,모델링
283808,게임개발(클라이언트);게임AI 개발
283802,원화;애니메이션
283775,게임운영;사업기획(국내);전략기획;사업관리;정보·빅데이터 분석
283785,인터페이스 디자인;원화;애니메이션;이펙트·FX
283760,게임개발(클라이언트);서버
283752,게임개발(모바일);게임기획
283509,마케팅;홍보;해외 마케팅;프로모션
283746,애니메이션
283744,영상제작·편집
283742,게임AI 개발;게임기획
283539,게임개발(클라이언트);게임개발(모바일);게임AI 개발
283734,게임개발(클라이언트);게임AI 개발
283728,이펙트·FX
283717,게임기획
283722,마케팅;홍보;해외 마케팅;광고기획
282104,게임개발(모바일);인터페이스 디자인
282537,게임개발(모바일);서버
283721,마케팅;홍보;해외 마케팅;광고기획
283720,마케팅;홍보;해외 마케팅;광고기획
283663,게임운영;QA·테스터
283711,원화;모델링;애니메이션
263628,게임개발(모바일);게임AI 개발;인터페이스 디자인;모델링;애니메이션
283690,게임AI 개발;모델링;애니메이션;이펙트·FX;게임기획
283700,애니메이션;영상제작·편집
283692,게임기획
283686,인터페이스 디자인
283684,플랫폼 개발;서버;네트워크;시스템·DB;클라우드
283681,서버
283675,영상제작·편집;마케팅;홍보;광고기획;퍼블리싱
283673,서버
283671,게임AI 개발;서버;네트워크;시스템·DB;보안
283669,정보·빅데이터 분석
283259,사무·회계;회계;경리;인사;총무
283660,게임개발(모바일);게임기획;게임운영;QA·테스터
273371,게임개발(모바일);서버
283542,QA·테스터
281430,인터페이스 디자인;원화
274749,게임기획
282284,게임기획
282454,게임개발(클라이언트);게임개발(모바일)
282595,게임개발(클라이언트);게임개발(모바일);게임AI 개발;게임운영
281470,모델링
283599,인터페이스 디자인
283634,게임기획
283631,게임개발(모바일);원화;애니메이션
283620,게임운영;정보·빅데이터 분석;해외 마케팅;광고기획;퍼블리싱
283612,애니메이션
283613,모델링
283614,인터페이스 디자인
283616,원화
283605,게임개발(모바일);인터페이스 디자인
283606,게임개발(모바일);이펙트·FX
283607,사업기획(국내);퍼블리싱;소싱/라이선싱
283600,애니메이션
283592,인터페이스 디자인;애니메이션;이펙트·FX
283594,게임개발(클라이언트)
282668,게임개발(클라이언트);게임개발(모바일);서버
283554,마케팅;홍보;해외 마케팅;프로모션;퍼블리싱
283587,게임개발(클라이언트);모델링;이펙트·FX;엔진
282416,게임개발(모바일);서버;네트워크;시스템·DB
283579,사업기획(국내);사업기획(해외);전략기획;사업관리;정보·빅데이터 분석
283569,애니메이션
283553,영상제작·편집;마케팅
283551,게임개발(모바일);게임기획;게임운영
283555,마케팅;광고기획;퍼블리싱
280965,원화
281748,애니메이션
283543,영상제작·편집
283535,인터페이스 디자인
283534,모델링
281627,인터페이스 디자인;원화;애니메이션;이펙트·FX
283533,QA·테스터
283519,인터페이스 디자인;원화;애니메이션;이펙트·FX
283518,모델링;게임기획
283488,애니메이션
283482,게임운영
283481,게임기획
283418,게임개발(클라이언트);게임개발(모바일);게임AI 개발;플랫폼 개발
283477,원화;모델링
283470,게임개발(모바일);인터페이스 디자인;원화
283422,게임기획
280933,애니메이션
280932,원화
283445,게임개발(모바일);게임기획
282534,게임기획
282502,원화;애니메이션
283172,인터페이스 디자인
283398,인터페이스 디자인
282492,인터페이스 디자인;애니메이션;이펙트·FX
283345,인터페이스 디자인;모델링;애니메이션;교육;강사
282496,게임개발(클라이언트);게임개발(모바일)
281143,게임개발(모바일);애니메이션
283175,원화
281136,게임기획;게임운영
283177,인터페이스 디자인;원화;애니메이션;이펙트·FX
282197,게임운영;QA·테스터;사업기획(국내)
281532,게임AI 개발;원화;모델링
281534,게임AI 개발;원화;모델링
281537,게임AI 개발;원화;모델링
281538,게임AI 개발;이펙트·FX
283113,원화
283223,인터페이스 디자인;원화;BX·브랜드 디자인;마케팅
283221,게임기획
283202,원화
275521,정보·빅데이터 분석;리서치
282962,게임개발(클라이언트);게임개발(모바일);원화;애니메이션;게임기획
283200,게임기획;플랫폼 기획
283199,인터페이스 디자인;원화;모델링
282927,게임기획
282084,게임개발(모바일);원화;애니메이션;이펙트·FX
283158,마케팅;해외 마케팅
283157,게임기획
283008,원화
283047,이펙트·FX
283137,모델링;애니메이션
282188,시스템·DB
282474,마케팅;해외 마케팅;퍼블리싱
282622,모델링
283118,원화
282528,게임개발(클라이언트)
283099,게임개발(클라이언트);게임개발(모바일)
282714,인터페이스 디자인
282380,애니메이션;이펙트·FX
283038,게임기획
282993,게임개발(모바일);게임기획
281081,게임개발(클라이언트)
281709,모델링
282819,애니메이션;엔진
282822,엔진
282952,게임개발(클라이언트);게임개발(모바일);게임AI 개발;서버;시스템·DB
282792,게임기획
282935,인터페이스 디자인
282928,사운드 제작
282012,게임기획;게임운영;마케팅;홍보;인사
282885,게임AI 개발;서버
282811,게임기획
282810,게임기획
282894,인터페이스 디자인;원화
282664,모델링;애니메이션
281360,서버;네트워크;시스템·DB;보안;클라우드
282873,모델링
282869,모델링
282683,모델링
282818,인터페이스 디자인;원화;이펙트·FX
282776,게임개발(모바일);게임기획
282778,게임개발(모바일);모델링
282777,게임운영
281382,인터페이스 디자인;원화
282727,인터페이스 디자인;원화
282689,게임기획
282669,인터페이스 디자인;원화;애니메이션;이펙트·FX;영상제작·편집
282667,이펙트·FX
282665,원화
275461,게임개발(클라이언트);게임개발(모바일)
282621,게임기획
281945,게임기획
282557,인터페이스 디자인;원화;애니메이션;이펙트·FX
282066,퍼블리싱;번역
281174,게임개발(클라이언트);게임개발(모바일);플랫폼 개발
281618,게임개발(클라이언트);게임개발(모바일);인터페이스 디자인;원화
282524,애니메이션
282249,게임개발(모바일);게임기획
282435,인터페이스 디자인
281953,게임기획
282485,게임운영
282484,게임운영
282480,원화;모델링;애니메이션;게임기획;강사
282477,모델링
281704,애니메이션;이펙트·FX
282475,원화;애니메이션;영상제작·편집;교육;강사
282464,게임기획;번역
282382,원화;애니메이션
282459,원화;모델링
282428,게임운영;마케팅;홍보;해외 마케팅;퍼블리싱
281796,게임운영
281073,마케팅;홍보;해외 마케팅;광고기획;퍼블리싱
282400,애니메이션
282365,사업관리;정보·빅데이터 분석;마케팅
282366,인터페이스 디자인;원화;모델링;애니메이션;이펙트·FX
282364,마케팅;홍보;광고기획
282309,게임개발(클라이언트)
282307,서버;네트워크;시스템·DB;보안;클라우드
282116,게임기획;QA·테스터
281859,게임개발(클라이언트);게임기획;엔진;교육;강사
281767,원화
281468,이펙트·FX
282229,게임AI 개발
282011,이펙트·FX
282196,원화;게임기획
281957,게임기획
281958,서버
281948,게임AI 개발;강사
281236,게임개발(모바일);모델링;애니메이션;이펙트·FX
281839,모델링
281707,모델링
281676,게임AI 개발;원화
281690,인터페이스 디자인;원화;애니메이션
281667,인터페이스 디자인;원화;애니메이션;이펙트·FX
281025,게임기획
281576,마케팅;홍보;해외 마케팅;프로모션;광고기획
281553,이펙트·FX
281506,게임기획
281194,인터페이스 디자인
281431,게임기획;QA·테스터
281414,엔진
281352,애니메이션;엔진
281278,게임개발(클라이언트);게임AI 개발;애니메이션
281186,사업기획(해외);마케팅;홍보;해외 마케팅;해외영업
281207,모델링
277749,게임개발(클라이언트);게임개발(모바일);모델링;애니메이션;게임기획
281145,게임개발(모바일);모델링
281080,모델링
281026,사운드 제작
280995,게임기획
284349,게임개발(클라이언트)
283178,게임기획
283120,게임개발(클라이언트);게임개발(모바일)
283130,게임개발(클라이언트);게임개발(모바일)
282403,게임기획
283100,게임기획
283879,마케팅
284384,QA·테스터
284290,QA·테스터
281947,인터페이스 디자인
284360,원화;모델링;애니메이션;교육;강사
283429,모델링
284343,게임운영
283909,애니메이션;이펙트·FX;엔진
284289,QA·테스터
279219,QA·테스터
284173,퍼블리싱
284199,원화;모델링;엔진
284179,이펙트·FX
284091,원화;애니메이션;교육;강사
284090,원화;애니메이션;교육;강사
284077,게임개발(모바일);보안;QA·테스터
283983,QA·테스터
284013,모델링;애니메이션
283965,게임기획
283985,인터페이스 디자인;원화;애니메이션;이펙트·FX
282195,원화;교육;강사
281694,게임기획;사업기획(국내);사업기획(해외);전략기획;정보·빅데이터 분석
282093,게임개발(클라이언트);엔진
283894,애니메이션
283893,총무
283887,인터페이스 디자인;원화
283782,사업기획(국내);사업기획(해외);전략기획;마케팅
283781,게임개발(클라이언트);인터페이스 디자인;원화;모델링;게임기획
283635,보안
283636,보안
283399,모델링
282576,원화
283371,모델링
283144,게임운영
281086,게임개발(클라이언트);모델링;게임기획;엔진;교육
283471,사운드 제작
282395,게임개발(클라이언트);게임개발(모바일);플랫폼 개발;엔진;교육
283275,인터페이스 디자인;애니메이션;이펙트·FX
283271,게임개발(클라이언트);게임기획;교육;교수;강사
282966,게임운영;사업기획(국내);사업기획(해외);퍼블리싱
282650,번역
282999,게임기획;QA·테스터
282812,게임운영
282351,마케팅;홍보;해외 마케팅;프로모션;광고기획
282076,게임개발(모바일);게임AI 개발;게임기획
282045,E-Sports;방송
282006,게임개발(모바일);게임기획
282005,게임개발(클라이언트);게임개발(모바일)
281894,모델링;교육
281510,게임개발(클라이언트);게임개발(모바일);시스템·DB;클라우드;결제·PG
281210,모델링;강사
